congress,chamber,bioguide,firstname,middlename,lastname,suffix,birthday,state,party,incumbent,termstart,age
80,house,M000112,Joseph,Jefferson,Mansfield,,1861-02-09,TX,D,Yes,1/3/47,85.9
80,house,D000448,Robert,Lee,Doughton,,1863-11-07,NC,D,Yes,1/3/47,83.2
80,house,S000001,Adolph,Joachim,Sabath,,1866-04-04,IL,D,Yes,1/3/47,80.7
80,house,E000023,Charles,Aubrey,Eaton,,1868-03-29,NJ,R,Yes,1/3/47,78.8
80,house,L000296,William,,Lewis,,1868-09-22,KY,R,No,1/3/47,78.3
80,house,G000017,James,A.,Gallagher,,1869-01-16,PA,R,No,1/3/47,78
80,house,W000265,Richard,Joseph,Welch,,1869-02-13,CA,R,Yes,1/3/47,77.9
80,house,B000565,Sol,,Bloom,,1870-03-09,NY,D,Yes,1/3/47,76.8
80,house,H000943,Merlin,,Hull,,1870-12-18,WI,R,Yes,1/3/47,76
80,house,G000169,Charles,Laceille,Gifford,,1871-03-15,MA,R,Yes,1/3/47,75.8
80,house,B000545,Schuyler,Otis,Bland,,1872-05-04,VA,D,Yes,1/3/47,74.7
80,house,R000358,John,Marshall,Robsion,,1873-01-02,KY,R,Yes,1/3/47,74
80,house,L000501,Louis,Leon,Ludlow,,1873-06-24,IN,D,Yes,1/3/47,73.5
80,house,K000138,John,Hosea,Kerr,,1873-12-31,NC,D,Yes,1/3/47,73
80,house,C000932,Robert,,Crosser,,1874-06-07,OH,D,Yes,1/3/47,72.6
80,house,L000163,Clarence,Frederick,Lea,,1874-07-11,CA,D,Yes,1/3/47,72.5
80,house,K000039,John,,Kee,,1874-08-22,WV,D,Yes,1/3/47,72.4
80,house,S000717,Brent,,Spence,,1874-12-24,KY,D,Yes,1/3/47,72
80,house,A000257,Homer,Daniel,Angell,,1875-01-12,OR,R,Yes,1/3/47,72
80,house,N000153,Mary,Teresa,Norton,,1875-03-07,NJ,D,Yes,1/3/47,71.8
80,house,P000395,Charles,Albert,Plumley,,1875-04-14,VT,R,Yes,1/3/47,71.7
80,house,D000496,Patrick,Henry,Drewry,,1875-05-24,VA,D,Yes,1/3/47,71.6
80,house,H000683,Clare,Eugene,Hoffman,,1875-09-10,MI,R,Yes,1/3/47,71.3
80,house,R000113,Daniel,Alden,Reed,,1875-09-15,NY,R,Yes,1/3/47,71.3
80,house,B001214,William,Thomas,Byrne,,1876-03-06,NY,D,Yes,1/3/47,70.8
80,house,W000718,Roy,Orchard,Woodruff,,1876-03-14,MI,R,Yes,1/3/47,70.8
80,house,B000515,William,Wallace,Blackney,,1876-08-28,MI,R,Yes,1/3/47,70.3
80,house,M000693,Earl,Cory,Michener,,1876-11-30,MI,R,Yes,1/3/47,70.1
80,house,C000590,Howard,Aldridge,Coffin,,1877-06-11,MI,R,No,1/3/47,69.6
80,house,M000374,Edward,Oscar,McCowen,,1877-06-29,OH,R,Yes,1/3/47,69.5
